time,from_id,source_type,source_community,to_id,target_type,target_community,text,event_type,monitoring_subtype,event_findings,event_id
2040-10-01 08:09:00,,,,,,,,Monitoring,miscellaneous monitoring,A pod of dolphins was spotted near the eastern point this morning. They were playful. Migratory birds are starting to arrive.,Event_Monitoring_0
2040-10-01 10:48:00,,,,,,,,Monitoring,miscellaneous monitoring,"Increased tourism vessel activity near protected areas, specifically Nemo Reef.",Event_Monitoring_33
2040-10-01 11:40:00,,,,,,,,Monitoring,surveillance,"Increased tourism vessel activity near protected areas, especially around Nemo Reef",Event_Monitoring_60
2040-10-01 12:34:00,,,,,,,,Monitoring,patrol activity,Increased tourism vessel activity near Nemo Reef. Inconsistent enforcement noted. Water quality report to be sent separately.,Event_Monitoring_68
2040-10-01 12:37:00,,,,,,,,Monitoring,patrol activity,"Increased tourism activity near protected areas, particularly Nemo Reef. Coordination with Sentinel on western boundary requested. Extra patrols needed for two weeks.",Event_Monitoring_71
2040-10-01 12:39:00,,,,,,,,Monitoring,patrol activity,"Increased tourism near Nemo Reef. Horizon monitoring eastern boundary, Sentinel taking western boundary.",Event_Monitoring_73
2040-10-01 12:39:00,,,,,,,,Monitoring,patrol activity,Increased tourism reported near Nemo Reef. Horizon will monitor eastern boundary while Sentinel takes western boundary. Will document violations and compare notes at 1800 hours.,Event_Monitoring_74
2040-10-01 12:40:00,,,,,,,,Monitoring,patrol activity,Three tourism vessels approaching Nemo Reef's protected zones in the last hour,Event_Monitoring_77
2040-10-01 12:44:00,,,,,,,,Monitoring,patrol activity,Multiple tourism vessels crossing protected zones around Nemo Reef's southern boundary,Event_Monitoring_83
2040-10-02 09:59:00,,,,,,,,Monitoring,miscellaneous monitoring,Multiple protected zone violations at Nemo Reef,Event_Monitoring_105
2040-10-02 12:16:00,,,,,,,,Monitoring,surveillance,Three vessels (two commercial and one private yacht) repeatedly circling Nemo Reef. Permit application filed by Rodriguez from 'Sailor Shifts Team' requesting access for 'environmental sampling'.,Event_Monitoring_129
2040-10-02 12:22:00,,,,,,,,Monitoring,surveillance,"Rodriguez is connected to a mining consortium with previous violations in protected areas. Their equipment appears designed for core sampling, not environmental research.",Event_Monitoring_133
2040-10-01 00:00:00,,,,,,,,Monitoring,miscellaneous monitoring,Request for information about tourism vessels approaching Nemo Reef for conservation monitoring purposes,Event_Monitoring_148
2040-10-03 08:35:00,,,,,,,,Monitoring,patrol activity,Increasing patrol frequency around Nemo Reef after reports of tourism vessels offering unauthorized access.,Event_Monitoring_164
2040-10-03 08:39:00,,,,,,,,Monitoring,patrol activity,Increased patrols around Nemo Reef due to reports of tourism vessels offering unauthorized access for payment,Event_Monitoring_168
2040-10-03 08:44:00,,,,,,,,Monitoring,patrol activity,Five unauthorized tourism vessels near Nemo Reef. Concerning pattern emerging. Some operators may be attempting to circumvent restrictions.,Event_Monitoring_173
2040-10-03 09:12:00,,,,,,,,Monitoring,surveillance,Observed Mariner's Dream making suspicious approaches to restricted areas. Sentinel is moving to intercept.,Event_Monitoring_192
2040-10-03 10:02:00,,,,,,,,Monitoring,surveillance,Additional night-vision equipment will be brought for 24-hour surveillance. Setup will take approximately 60 minutes. Patterns in unauthorized entries are being investigated.,Event_Monitoring_208
2040-10-03 10:38:00,,,,,,,,Monitoring,patrol activity,"Northern Light vessel reports uneven enforcement, claiming tourism boats enter restricted zones without consequences while commercial vessels are fined for minor infractions",Event_Monitoring_232
2040-10-04 08:03:00,,,,,,,,Monitoring,surveillance,Mako vessel approaching Nemo Reef protected area with conservation boats following them,Event_Monitoring_243
2040-10-04 08:38:00,,,,,,,,Monitoring,water quality testing,Mako conducting authorized water quality sampling near Echo-7 marker for Oceanus Environmental Department,Event_Monitoring_253
2040-10-04 08:41:00,,,,,,,,Monitoring,patrol activity,"Mako confirmed near Echo-7 marker, conducting authorized water quality sampling for Oceanus Environmental, promising to stay outside protected boundaries",Event_Monitoring_255
2040-10-04 09:13:00,,,,,,,,Monitoring,surveillance,Vessel with transponder name 'Mako' detected near Nemo Reef protected boundary before signal loss,Event_Monitoring_266
2040-10-04 11:04:00,,,,,,,,Monitoring,surveillance,Mako taking an unusual route with proximity to Nemo Reef's eastern boundary,Event_Monitoring_286
2040-10-05 10:30:00,,,,,,,,Monitoring,surveillance,Positioned near V. Miesel equipment loading. Transfer of specialized drilling machinery with deep-sea modifications observed. Serial numbers documented. Potentially unauthorized marine survey equipment spotted.,Event_Monitoring_358
2040-10-06 09:50:00,,,,,,,,Monitoring,surveillance,"Planning to establish full monitoring protocol at Nemo Reef to document vessel activities, equipment, and personnel. Coordinating with Horizon and Sentinel for continuous coverage. Something expected to happen tomorrow.",Event_Monitoring_383
2040-10-06 11:46:00,,,,,,,,Monitoring,surveillance,Construction crews arrived today for site preparation at Nemo Reef. Equipment installation scheduled tomorrow with full event execution next week. Expedited approval after previous denial suggests concerning influence.,Event_Monitoring_410
2040-10-06 12:24:00,,,,,,,,Monitoring,water quality testing,Preparing water sampling kits for deployment and planning to bring satellite tracking equipment to monitor vessels potentially violating protected zones,Event_Monitoring_414
2040-10-07 08:14:00,,,,,,,,Monitoring,surveillance,Lookout provided photos of the fragile crates at harbor. Neptune's using unusual loading equipment. V. Miesel shipping lanes appear to overlap with new Mako corridors by 40%.,Event_Monitoring_444
